Source,Target,Type,Id,Label,timeset,Weight
61,59,Undirected,174,,,5
61,57,Undirected,175,,,1
61,55,Undirected,176,,,1
62,55,Undirected,177,,,9
62,58,Undirected,178,,,17
62,59,Undirected,179,,,13
62,48,Undirected,180,,,7
62,57,Undirected,181,,,2
62,41,Undirected,182,,,1
62,61,Undirected,183,,,6
62,60,Undirected,184,,,3
63,59,Undirected,185,,,5
63,48,Undirected,186,,,5
63,62,Undirected,187,,,6
63,57,Undirected,188,,,2
63,58,Undirected,189,,,4
63,61,Undirected,190,,,3
63,60,Undirected,191,,,2
63,55,Undirected,192,,,1
64,55,Undirected,193,,,5
64,62,Undirected,194,,,12
64,48,Undirected,195,,,5
64,63,Undirected,196,,,4
64,58,Undirected,197,,,10
64,61,Undirected,198,,,6
64,60,Undirected,199,,,2
64,59,Undirected,200,,,9
64,57,Undirected,201,,,1
64,11,Undirected,202,,,1
65,63,Undirected,203,,,5
65,64,Undirected,204,,,7
65,48,Undirected,205,,,3
65,62,Undirected,206,,,5
65,58,Undirected,207,,,5
65,61,Undirected,208,,,5
65,60,Undirected,209,,,2
65,59,Undirected,210,,,5
65,57,Undirected,211,,,1
65,55,Undirected,212,,,2
66,64,Undirected,213,,,3
66,58,Undirected,214,,,3
66,59,Undirected,215,,,1
66,62,Undirected,216,,,2
66,65,Undirected,217,,,2
66,48,Undirected,218,,,1
66,63,Undirected,219,,,1
66,61,Undirected,220,,,1
66,60,Undirected,221,,,1
67,57,Undirected,222,,,3
68,25,Undirected,223,,,5
68,11,Undirected,224,,,1
68,24,Undirected,225,,,1
68,27,Undirected,226,,,1
68,48,Undirected,227,,,1
68,41,Undirected,228,,,1
69,25,Undirected,229,,,6
69,68,Undirected,230,,,6
69,11,Undirected,231,,,1
69,24,Undirected,232,,,1
69,27,Undirected,233,,,2
69,48,Undirected,234,,,1
69,41,Undirected,235,,,1
70,25,Undirected,236,,,4
70,69,Undirected,237,,,4
70,68,Undirected,238,,,4
70,11,Undirected,239,,,1
70,24,Undirected,240,,,1
70,27,Undirected,241,,,1
70,41,Undirected,242,,,1
70,58,Undirected,243,,,1
71,27,Undirected,244,,,1
71,69,Undirected,245,,,2
71,68,Undirected,246,,,2
71,70,Undirected,247,,,2
71,11,Undirected,248,,,1
71,48,Undirected,249,,,1
71,41,Undirected,250,,,1
71,25,Undirected,251,,,1
72,26,Undirected,252,,,2
72,27,Undirected,253,,,1
72,11,Undirected,254,,,1
73,48,Undirected,255,,,2
74,48,Undirected,256,,,2
74,73,Undirected,257,,,3
75,69,Undirected,258,,,3
75,68,Undirected,259,,,3
75,25,Undirected,260,,,3
75,48,Undirected,261,,,1
75,41,Undirected,262,,,1
75,70,Undirected,263,,,1
75,71,Undirected,264,,,1
76,64,Undirected,265,,,1
76,65,Undirected,266,,,1
76,66,Undirected,267,,,1
76,63,Undirected,268,,,1
76,62,Undirected,269,,,1
76,48,Undirected,270,,,1
76,58,Undirected,271,,,1
